Price,Predicted_Demand,Revenue
5.0,35.214893941808846,176.07446970904422
6.0,31.565860807073907,189.39516484244345
7.0,28.77726813139762,201.44087691978334
8.0,26.561609964701322,212.49287971761058
9.0,24.74929781542226,222.74368033880035
10.0,23.23316556662262,232.3316556662262
11.0,21.9418264799621,241.3600912795831
12.0,20.825701522645037,249.90841827174046
13.0,19.849171127155405,258.03922465302026
14.0,18.985916474905935,265.8028306486831
15.0,18.21602576649829,273.24038649747433
16.0,17.524127235643764,280.3860357703002
17.0,16.898145082719783,287.2684664062363
18.0,16.32844712676199,293.91204828171584
19.0,15.80724653618992,300.3376841876085
20.0,15.32817287872748,306.5634575745496
21.0,14.885958726361645,312.60513325359454
22.0,14.476206808558077,318.4765497882777
23.0,14.095214383709887,324.1899308253274
24.0,13.739838953262618,329.7561348783028
25.0,13.407394310757267,335.1848577689317
26.0,13.09556916228324,340.4847982193643
27.0,12.802362757458704,345.663794451385
28.0,12.526033490955902,350.72893774676527
29.0,12.265057501123367,355.68666753257764
30.0,12.018095050868686,360.5428515260606
31.0,11.783963022673182,365.3028537028687
32.0,11.56161225841134,369.9715922691629
33.0,11.350108768849339,374.55358937202817
34.0,11.14861805701842,379.05301393862624
35.0,10.956391964763602,383.4737187667261
36.0,10.772757577199691,387.81927277918885
37.0,10.597107815917253,392.09298918893836
38.0,10.428893426020014,396.2979501887605
39.0,10.267616119854887,400.4370286743406
40.0,10.11282268558772,404.51290742350875
41.0,9.964099904520891,408.52809608535654
42.0,9.821070149436494,412.4849462763327
43.0,9.683387558931397,416.3856650340501
44.0,9.550734700938408,420.23232684128993
45.0,9.422819653356173,424.0268844010278
46.0,9.299373441672541,427.7711783169369
47.0,9.180147783229904,431.4669458118055
48.0,9.064913095787794,435.11582859781413
49.0,8.953456734633491,438.7193799970411
50.0,8.845581427947856,442.2790713973928
51.0,8.7411038846661,445.79629811797105
52.0,8.63985355285315,449.27238474836383
53.0,8.541671509777476,452.7085900182062
54.0,8.446409467525523,456.10611124637825
55.0,8.353928880240042,459.4660884132023
56.0,8.264100140961261,462.78960789383063
57.0,8.17680185765841,466.0777058865293
58.0,8.091920199408355,469.33137156568455
59.0,8.009348304847135,472.55154998598096
60.0,7.9289857460209,475.739144761254
61.0,7.850738041622076,478.89502053894665
62.0,7.774516214336265,482.02000528884844
63.0,7.700236387663681,485.1148924228119
64.0,7.627819418131317,488.1804427604043
65.0,7.5571905592909765,491.21738635391347
66.0,7.488279154314749,494.2264241847734
67.0,7.421018354362239,497.20822974227
68.0,7.3553448602106695,500.1634504943255
69.0,7.291198684916101,503.092709259211
70.0,7.228522935517074,505.9966054861952
71.0,7.167263612005399,508.87571645238336
72.0,7.107369421976815,511.73059838233064
73.0,7.048791609539898,514.5617874964125
74.0,6.9914837972080415,517.3698009933951
75.0,6.93540183962888,520.155137972166
76.0,6.88050368812042,522.9182802971519
77.0,6.826749265085118,525.659693411554
78.0,6.774100347463907,528.3798271021848
79.0,6.722520458472985,531.0791162193658
80.0,6.671974766938291,533.7579813550633
81.0,6.622429993607044,536.4168294821706
82.0,6.573854323873378,539.056054557617
83.0,6.526217326406792,541.6760380917638
84.0,6.479489877218493,544.2771496863534
85.0,6.433644088742375,546.8597475431019
86.0,6.388653243544902,549.4241789448616
87.0,6.3444917323118935,551.9707807111347
88.0,6.3011349957907115,554.4998796295827
89.0,6.258559470393861,557.0117928650536
90.0,6.216742537194887,559.5068283475398
91.0,6.17566247406998,561.9852851403682
92.0,6.1352984107591375,564.4474537898407
93.0,6.095630286639214,566.8936166574468
94.0,6.056638811018054,569.3240482356971
95.0,6.018305425774175,571.7390154485466
96.0,5.980612270180401,574.1387779373185
97.0,5.943542147762562,576.5235883329685
98.0,5.9070784950558695,578.8936925154752
99.0,5.871205352132253,581.2493298610931
100.0,5.835907334781496,583.5907334781496
101.0,5.801169608237903,585.9181304320282
102.0,5.766977862352297,588.2317419599343
103.0,5.733318288116526,590.5317836760022
104.0,5.700177555454514,592.8184657672695
105.0,5.66754279220007,595.0919931810074
106.0,5.635401564187416,597.3525658038661
107.0,5.603741856385693,599.6003786332692
108.0,5.572552055013499,601.8356219414578
109.0,5.541820930574022,604.0584814325683
110.0,5.511537621755441,606.2691383930985
111.0,5.4816916201450185,608.4677698360971
112.0,5.452272755708888,610.6545486393954
113.0,5.42327118299271,612.8296436781762
114.0,5.394677368001385,614.9932199521578
115.0,5.366482075718806,617.1454387076627
116.0,5.33867635823115,619.2864575548134
117.0,5.311251543419603,621.4164305800936
118.0,5.284199224190633,623.5355084544947
119.0,5.257511248213931,625.6438385374578
120.0,5.231179708140048,627.7415649768058
121.0,5.205196932271539,629.8288288048562
122.0,5.179555475663014,631.9057680308878
123.0,5.154248111627067,633.9725177301292
124.0,5.129267823624418,636.0292101294278
125.0,5.104607797517987,638.0759746897484
126.0,5.080261414171761,640.1129381856418
127.0,5.056222242376543,642.140224781821
128.0,5.032484032085683,644.1579561069674
129.0,5.009040707944916,646.1662513248941
130.0,4.985886363101338,648.1652272031739
131.0,4.96301525327746,650.1549981793472
132.0,4.940421791097035,652.1356764248086
133.0,4.918100540650172,654.1073719064728
134.0,4.896046212285911,656.070192446312
135.0,4.874253657621148,658.024243778855
136.0,4.852717864755363,659.9696296067293
137.0,4.831433953681252,661.9064516543315
138.0,4.810397171881859,663.8348097196965
139.0,4.789602890105351,665.7548017246437
140.0,4.769046598309042,667.6665237632659
141.0,4.748723901764743,669.5700701488288
142.0,4.7286305173179155,671.465533459144
143.0,4.708762269793531,673.3530045804749
